代碼,法條名稱,狀態
02547,緊急醫療救護法,現行
02549,菸害防制法,現行
02550,國立中國醫藥研究所組織條例,廢止
02551,物理治療師法,現行
02552,醫事放射師法,現行
02553,職能治療師法,現行
02554,衛生福利部中央健康保險署組織法,現行
02555,財團法人國家衛生研究院設置條例,現行
02556,健康食品管理法,現行
02557,醫事人員人事條例,現行
02561,行政院衛生署疾病管制局組織條例,廢止
02562,安寧緩和醫療條例,現行
02563,罕見疾病防治及藥物法,現行
02564,藥害救濟法,現行
02565,癌症防治法,現行
02566,心理師法,現行
02567,促進醫療服務業發展條例,廢止
02569,驗光人員法,現行
02571,行政院衛生署國民健康局組織條例,廢止
02572,牙體技術師法,現行
02574,呼吸治療師法,現行
02576,口腔健康法,現行
02578,嚴重急性呼吸道症候群防治及紓困暫行條例,廢止
02582,法醫師法,現行
02584,語言治療師法,現行
02586,聽力師法,現行
02588,長期照顧服務法,現行
02591,衛生福利部組織法,現行
02592,衛生福利部疾病管制署組織法,現行
02593,衛生福利部國民健康署組織法,現行
02594,衛生福利部國家中醫藥研究所組織法,現行
02596,油症患者健康照護服務條例,現行
02597,衛生福利部社會及家庭署組織法,現行
02601,國軍退除役官兵輔導條例,現行
02701,原子能法,現行
02702,行政院原子能委員會輻射偵測中心組織條例,現行
02703,行政院原子能委員會放射性物料管理局組織條例,現行
02704,行政院原子能委員會核能研究所組織條例,現行
02708,核子事故緊急應變法,現行
02709,放射性物料管理法,現行
02710,游離輻射防護法,現行
02711,核子反應器設施管制法,現行
02712,低放射性廢棄物最終處置設施場址設置條例,現行
02801,科學園區設置管理條例,現行
02802,科學工業園區管理局組織條例,廢止
02805,財團法人國家同步輻射研究中心設置條例,現行
02806,財團法人國家實驗研究院設置條例,現行
02807,科學技術基本法,現行
02809,南部科學工業園區管理局組織條例,廢止
02813,行政院國家科學委員會中部科學工業園區管理局組織法,廢止
02814,生技新藥產業發展條例,現行
02815,科技部組織法,現行
02817,科技部新竹科學工業園區管理局組織法,現行
02818,科技部中部科學工業園區管理局組織法,現行
02819,科技部南部科學工業園區管理局組織法,現行
02822,國家資通安全科技中心設置條例,廢止
02823,資通安全管理法,現行
02901,文化資產保存法,現行
02902,文化藝術獎助條例,現行
02903,國家文化藝術基金會設置條例,現行
02905,博物館法,現行
02908,水下文化資產保存法,現行
02909,財團法人原住民族文化事業基金會設置條例,現行
02911,文化部文化資產局組織法,現行
02913,國立臺灣史前文化博物館組織法,現行
02916,國立海洋科技博物館組織法,現行
03101,農業發展條例,現行
03102,山坡地保育利用條例,現行
03103,農倉業法,廢止
03104,農倉業法施行條例,廢止
03105,農藥管理法,現行
03106,農產品市場交易法,現行
03107,森林法,現行
03108,漁業法,現行
03110,獸醫師法,現行
03111,動物傳染病防治條例,現行
03112,動物用藥品管理法,現行
03113,飼料管理法,現行
03114,蠶種製造條例,廢止
03116,水土保持法,現行
03117,植物品種及種苗法,現行
03118,野生動物保育法,現行
03120,農田水利會組織通則,現行
03122,肥料管理法,現行
03123,糧食管理法,現行
03127,漁港法,現行
03128,畜牧法,現行
03130,植物防疫檢疫法,現行
03134,動物保護法,現行
03136,行政院農業委員會動植物防疫檢疫局組織條例,現行
03137,行政院農業委員會動植物防疫檢疫局所屬各分局組織通則,現行
03138,行政院農業委員會漁業署組織條例,現行
03140,行政院農業委員會農糧署組織條例,現行
03141,行政院農業委員會農糧署各分署組織通則,現行
03148,行政院農業委員會水土保持局組織法,現行
03164,農業科技園區設置管理條例,現行
03166,農產品生產及驗證管理法,現行
03167,投資經營非我國籍漁船管理條例,現行
03168,農村再生條例,現行
03182,有機農業促進法,現行
03186,遠洋漁業條例,現行
03301,公務人員住宅及福利委員會組織條例,廢止
03302,行政院人事行政總處公務人力發展學院組織法,現行
03401,政府資訊公開法,現行
03614,職業訓練法,現行
03615,就業服務法,現行
03616,性別工作平等法,現行
03617,行政院勞工委員會勞工安全衛生研究所組織條例,廢止
03618,勞工保險局組織條例,廢止
03619,勞工保險監理委員會組織條例,廢止
03623,勞工退休金條例,現行
03624,職業災害勞工保護法,現行
03626,大量解僱勞工保護法,現行
03627,原住民族工作權保障法,現行
03631,就業保險法,現行
03632,勞工退休基金監理會組織法,廢止
03633,公共服務擴大就業暫行條例,廢止
03637,勞動部組織法,現行
03638,勞動部勞工保險局組織法,現行
03639,勞動部勞動力發展署組織法,現行
03640,勞動部勞動基金運用局組織法,現行
03641,勞動部勞動及職業安全衛生研究所組織法,現行
03642,勞動部職業安全衛生署組織法,現行
03706,毒性化學物質管理法,現行
03707,環境基本法,現行
03710,公害糾紛處理法,現行
03712,行政院環境保護署環境檢驗所組織條例,現行
03713,行政院環境保護署環境保護人員訓練所組織條例,現行
03714,環境教育法,現行
03716,環境影響評估法,現行
03717,溫室氣體減量及管理法,現行
03718,土壤及地下水污染整治法,現行
03719,環境用藥管理法,現行
03723,海洋污染防治法,現行
03725,資源回收再利用法,現行
03736,濕地保育法,現行
03747,行政院環境保護署毒物及化學物質局組織法,現行
04001,工程技術顧問公司管理條例,現行
04003,前瞻基礎建設特別條例,現行
04101,中華民國憲法,現行
04102,動員戡亂時期臨時條款,廢止
04103,憲法實施之準備程序,現行
04104,訓政結束程序法,現行
04105,中華民國憲法增修條文,現行
04106,公民投票法,現行
04108,九二一震災重建暫行條例,廢止
04201,國民大會組織法,現行
04203,國民大會代表立法院立法委員選舉總事務所組織條例,廢止
04204,國民大會代表選舉罷免法,廢止
04205,國民大會代表選舉罷免法施行條例,廢止
04206,國民大會代表立法院立法委員選舉補充條例,廢止
04207,第一屆國民大會代表出缺遞補補充條例,廢止
04209,國民大會代表報酬及費用支給條例,廢止
04210,國民大會同意權行使法,現行
04211,國民大會職權行使法,現行
04212,國民大會代表選舉法,廢止
04301,中華民國總統府組織法,現行
04302,國策顧問委員會組織條例,廢止
04303,戰略顧問委員會組織條例,廢止
04304,光復大陸設計研究委員會組織條例,廢止
04305,稽勳委員會組織條例,廢止
04306,中央研究院組織法,現行
04307,國家安全會議組織法,現行
04308,中央研究院評議會條例,廢止
04309,國史館組織條例,現行
04310,國父陵園管理委員會組織條例,現行
04311,總統副總統選舉罷免法（民國36年）,廢止
04312,總統副總統宣誓條例,現行
04313,卸任總統副總統禮遇條例,現行
04314,印信條例,現行
04315,勳章條例,現行
04316,國立中央研究院基金條例,廢止
04317,國家安全局組織法,現行
04318,總統副總統選舉罷免法,現行
04319,總統副總統待遇支給條例,現行
04325,特種勤務條例,現行
04326,國家人權博物館組織法,現行
04327,總統副總統文物管理條例,現行
04401,立法院組織法,現行
04402,立法院各委員會組織法,現行
04403,立法院立法委員選舉罷免法,廢止
04404,立法院立法委員選舉罷免法施行條例,廢止
04405,中央法規標準法,現行
04406,遊說法,現行
04412,立法委員行為法,現行
04414,立法院職權行使法,現行
04501,司法院組織法,現行
04502,法院組織法,現行
04503,最高法院設置分庭條例,現行
04504,行政法院組織法,現行
04505,公務員懲戒委員會組織法,現行
04506,司法院大法官審理案件法,現行
04507,民法第一編總則,現行
04508,民法總則施行法,現行
04509,民法第二編債,現行
04510,民法債編施行法,現行
04511,民法第三編物權,現行
04512,民法物權編施行法,現行
04513,民法第四編親屬,現行
04514,民法親屬編施行法,現行
04515,民法第五編繼承,現行
04516,民法繼承編施行法,現行
04517,公司法,現行
04518,票據法,現行
04519,海商法,現行
04520,保險法,現行
04521,動產擔保交易法,現行
04522,破產法,現行
04523,破產法施行法,現行
04524,涉外民事法律適用法,現行
04525,公證法,現行
04526,提存法,現行
04527,民事訴訟法,現行
04528,民事訴訟法施行法,現行
04529,民事訴訟費用法,廢止
04530,民刑事訴訟卷宗滅失案件處理法,現行
04531,核子損害賠償法,現行
04532,非訟事件法,現行
04533,鄉鎮市調解條例,現行
04534,強制執行法,現行
04535,管收條例,現行
04536,中華民國刑法,現行
04537,中華民國刑法施行法,現行
04538,妨害國幣懲治條例,現行
04539,妨害兵役治罪條例,現行
04540,妨害國家總動員懲罰暫行條例,廢止
04541,懲治盜匪條例,廢止
04542,懲治走私條例,現行
04543,違反糧食管理治罪條例,廢止
04544,懲治叛亂條例,廢止
04545,戡亂時期檢肅匪諜條例,廢止
04546,殘害人群治罪條例,現行
04547,毒品危害防制條例,現行
04548,竊盜犯贓物犯保安處分條例,現行
04549,檢肅流氓條例,廢止
04550,少年事件處理法,現行
04551,貪污治罪條例,現行
04552,刑事訴訟法,現行
04553,刑事訴訟法施行法,現行
04554,提審法,現行
04555,公設辯護人條例,現行
04556,調度司法警察條例,現行
04557,赦免法,現行
04558,中華民國六十年罪犯減刑條例,現行
04559,中華民國六十四年罪犯減刑條例,現行
04560,中美共同防禦期間處理在華美軍人員刑事案件條例,廢止
04561,訴願法,現行
04562,行政訴訟法,現行
04563,公務員懲戒法,現行
04564,司法人員人事條例,現行
04565,法官法,現行
04569,中華民國八十年罪犯減刑條例,現行
04570,法官學院組織法,現行
04574,組織犯罪防制條例,現行
04576,戒嚴時期不當叛亂暨匪諜審判案件補償條例,現行
04577,證人保護法,現行
04580,千禧年資訊年序爭議處理法,現行
04581,行政訴訟法施行法,現行
04583,家事事件法,現行
04584,法律扶助法,現行
04585,民事訴訟合意選定法官審判暫行條例,廢止
04590,消費者債務清理條例,現行
04591,智慧財產法院組織法,現行
04592,智慧財產案件審理法,現行
04595,中華民國九十六年罪犯減刑條例,現行
04596,刑事妥速審判法,現行
04597,少年及家事法院組織法,現行
04601,考試院組織法,現行
04602,考選部組織法,現行
04603,銓敘部組織法,現行
04604,考銓處組織條例,現行
04605,公務人員考試法,現行
04606,特種考試邊區行政人員考試條例,廢止
04607,縣長考試條例,廢止
04608,非常時期特種考試暫行條例,廢止
04609,省縣公職候選人考試法,廢止
04610,公務人員升官等考試法,現行
04611,外國人應專門職業及技術人員考試條例,廢止
04612,專門職業及技術人員考試法,現行
04613,典試法,現行
04614,分類職位公務人員考試典試法,廢止
04615,監試法,現行
04617,公務人員任用法,現行
04618,縣長任用法,廢止
04619,技術人員任用條例,廢止
04620,縣行政人員任用條例,廢止
04621,蒙藏邊區人員任用條例,現行
04622,軍法人員轉任司法官條例,現行
04624,農林事業人員任用條例,廢止
04625,國家銀行職員任免條例,廢止
04626,交通事業人員任用條例,現行
04627,特種考試復員軍官佐轉業考試及格人員轉任文職條例,廢止
04628,駐外外交領事人員任用條例,現行
04629,審計人員任用條例,現行
04630,教育人員任用條例,現行
04631,聘用人員聘用條例,現行
04632,派用人員派用條例,廢止
04634,公務人員俸給法,現行
04635,立法委員監察委員歲費公費支給暫行條例,現行
04636,總統副總統及特任人員月俸公費支給暫行條例,現行
04639,後備軍人轉任公職考試比敘條例,現行
04640,戰地公務人員管理條例,廢止
04641,公務人員考績法,現行
04643,邊遠地區服務人員獎勵條例,廢止
04644,反共抗俄立功人員獎敘條例,廢止
04645,公務人員退休法,現行
04646,政務人員退職酬勞金給與條例,廢止
04647,公務人員撫卹法,現行
04648,學校教職員撫卹條例,現行
04649,公務員進修及考察選送條例,廢止
04650,公教人員保險法,現行
04651,公務人員眷屬疾病保險條例,廢止
04652,人事管理條例,現行
04653,高等考試及格人員縣長挑選條例,廢止
04654,公務員服務法,現行
04655,公務人員交代條例,現行
04659,專門職業及技術人員轉任公務人員條例,現行
04660,公務人員訓練進修法,現行
04662,公職人員年資併社團專職人員年資計發退離給與處理條例,現行
04663,公務人員保障暨培訓委員會組織法,現行
04664,公務人員保障法,現行
04666,公務人員陞遷法,現行
04667,公務人員退休撫卹基金管理條例,現行
04668,公務人員退休撫卹基金監理委員會組織條例,現行
04671,公務人員退休撫卹基金管理委員會組織條例,現行
04672,公務人力發展中心組織條例,廢止
04673,公務人員行政中立法,現行
04677,國家文官學院組織法,現行
04681,公務人員協會法,現行
04685,政務人員退職撫卹條例,現行
04686,交通事業人員考成條例,現行
04687,公務人員退休資遣撫卹法,現行
04690,行政法人法,現行
04692,公立學校教職員退休資遣撫卹條例,現行
04701,監察院組織法,現行
04702,監察院各委員會組織法,現行
04703,監察院監察委員行署組織條例,現行
04704,審計部組織法,現行
04705,審計處室組織通則,現行
04706,監察院監察委員選舉罷免法,廢止
04707,監察院監察委員選舉罷免法施行條例,廢止
04708,監察法,現行
04709,審計法,現行
04710,機關營繕工程及購置定製變賣財物稽察條例,廢止
04711,公職人員財產申報法,現行
04712,公職人員利益衝突迴避法,現行
04714,三一九槍擊事件真相調查特別委員會條例,現行
04801,省政府組織法,廢止
04802,市組織法,廢止
04803,縣組織法,廢止
04804,縣組織法施行法,廢止
04805,鄉鎮組織暫行條例,廢止
04809,省縣自治法,廢止
04811,直轄市自治法,廢止
04812,金門馬祖東沙南沙地區安全及輔導條例,廢止
04817,臺灣省政府功能業務與組織調整暫行條例,廢止
04818,地方制度法,現行
04819,地方民意代表費用支給及村里長事務補助費補助條例,現行
04822,海南特區行政長官公署組織條例,廢止
04823,海南建省籌備委員會組織條例,廢止
04824,設治局組織條例,廢止
04825,省參議員選舉條例,廢止
04826,市參議會組織條例,廢止
04827,市參議員選舉條例,廢止
04828,縣參議會組織條例,廢止
04829,縣參議員選舉條例,廢止
04830,鄉鎮民代表選舉條例,廢止
04832,省參議會組織條例,廢止
04901,公文程式條例,現行
04902,宣誓條例,現行
04903,獎章條例,現行
04904,服制條例,廢止
04905,特級上將授任條例,廢止
04906,衛戍條例,廢止
05109,內政部警政署鐵路警察局組織條例,廢止
05110,內政部警政署臺灣保安警察總隊組織條例,廢止
05111,內政部警政署港務警察局組織通則,廢止
05112,內政部警政署警察廣播電臺組織條例,廢止
05113,內政部警政署民防防情指揮管制所組織條例,廢止
05114,內政部警政署警察機械修理廠組織條例,廢止
05115,華僑身分證明條例,現行
05117,內政部空中勤務總隊組織法,現行
05119,警察職權行使法,現行
05120,殯葬管理條例,現行
05121,原住民敬老福利生活津貼暫行條例,廢止
05123,原住民保留地禁伐補償及造林回饋條例,現行
05125,兒童及少年福利與權益保障法,現行
05126,海岸巡防機關器械使用條例,現行
05128,原住民族傳統智慧創作保護條例,現行
05131,國土測繪法,現行
05135,爆竹煙火管理條例,現行
05143,公共場所母乳哺育條例,現行
05144,警察消防海巡移民空勤人員及協勤民力安全基金設置管理條例,現行
05145,漢生病病患人權保障及補償條例,現行
05146,祭祀公業條例,現行
05151,幼兒教育及照顧法,現行
05152,人口販運防制法,現行
05161,莫拉克颱風災後重建特別條例,廢止
05164,客家基本法,現行
05165,兒童權利公約施行法,現行
05167,消除對婦女一切形式歧視公約施行法,現行
05179,內政部警政署組織法,現行
05180,內政部建築研究所組織法,現行
05181,內政部役政署組織法,現行
05182,身心障礙者權利公約施行法,現行
05183,海洋委員會海洋保育署組織法,現行
05185,國家海洋研究院組織法,現行
05202,生產事故救濟條例,現行
05400,偏遠地區學校教育發展條例,現行
06054,客家委員會客家文化發展中心組織法,現行
06058,財團法人原住民族語言研究發展基金會設置條例,現行
06810,交通部鐵道局組織法,現行
06820,交通部高速公路局組織法,現行
06821,國家住宅及都市更新中心設置條例,現行
07101,教保服務人員條例,現行
07104,長期照顧服務機構法人條例,現行
07122,兒童及少年未來教育與發展帳戶條例,現行
07128,國際刑事司法互助法,現行
07129,高級中等以下學校學生及教保服務機構幼兒團體保險條例,現行
07132,勞動事件法,現行
07135,教育部所屬機構作業基金設置條例,現行
08101,再生能源發展條例,現行
08102,光碟管理條例,現行
08103,國際合作發展法,現行
08106,經濟部能源局組織條例,現行
08107,企業併購法,現行
08108,自由貿易港區設置管理條例,現行
08110,因應貿易自由化調整支援條例,現行
08113,天然氣事業法,現行
08119,水患治理特別條例,廢止
08120,石門水庫及其集水區整治特別條例,廢止
08121,有限合夥法,現行
08123,曾文南化烏山頭水庫治理及穩定南部地區供水特別條例,廢止
08125,文化創意產業發展法,現行
08128,產業創新條例,現行
08131,振興經濟消費券發放特別條例,廢止
08137,金融消費者保護法,現行
08148,特種貨物及勞務稅條例,現行
08149,多層次傳銷管理法,現行
08156,流域綜合治理特別條例,現行
08160,再生水資源發展條例,現行
08180,外國專業人才延攬及僱用法,現行
90001,商會法,廢止
90002,商業同業公會法,廢止
90003,省防空司令部組織條例,廢止
90004,省保安司令部組織條例,廢止
90005,防空疏散建築用地徵用領用條例,廢止
90006,陸軍中將加銜暫行條例,廢止
90007,博士學位評定會組織條例,廢止
90008,陸軍大學校組織法,廢止
90009,名譽博士學位授予條例,廢止
90010,國民義務勞動法,廢止
90011,中央法規制定標準法,廢止
90012,法律廢止條例,廢止
90013,法律施行日期條例,廢止
90014,東南鼠疫防治處組織條例,廢止
90015,內政部檢疫所組織條例,廢止
90016,取締棉花攙水攙雜暫行條例,廢止
90017,陸軍禮節條例,廢止
90018,海軍禮節條例,廢止
90019,僑務委員會駐各口岸僑務局組織條例,廢止
90020,經濟部高雄加工出口區管理處組織條例,廢止
90021,遺產稅法,廢止
90022,造船獎勵條例,廢止
90023,中國農民銀行兼辦土地金融業務條例,廢止
90024,財政部鹽務總局鹽警管理處組織條例,廢止
90025,中央古物保管委員會組織條例,廢止
90026,考試法,廢止
90027,分類職位公務人員考試法,廢止
90028,分類職位公務人員任用法,廢止
90029,分類職位公務人員俸給法,廢止
90030,公務職位分類法,廢止
90031,國軍軍官佐考績條例,廢止
90032,戰時全國技術員工管制條例,廢止
90033,船舶無線電台條例,廢止
90034,臺灣省糧食實物債券條例,廢止
90035,衛生事業人員任用條例,廢止
90036,利率管理條例,廢止
90037,陸軍軍旗條例,廢止
90038,海軍旗章條例,廢止
90039,空軍軍旗條例,廢止
90040,礦場法,廢止
90041,捐資興辦社會福利事業褒獎條例,廢止
90042,興辦水利事業獎勵條例,廢止
90043,屠宰稅法,廢止
90044,狩獵法,廢止
90045,師範學校法,廢止
90046,工業會法,廢止
90047,臺灣省實物土地債券條例,廢止
90048,縣長考績條例,廢止
90049,陸軍軍官佐任職暫行條例,廢止
90050,空軍軍官佐任職暫行條例,廢止
90051,經濟部農業局組織條例,廢止
90052,警察官任用條例,廢止
90053,筵席及娛樂稅法,廢止
90054,電影檢查法,廢止
90055,財政部關務署組織法（民國25年）,廢止
90056,種痘條例,廢止
90057,社會救濟法,廢止
90058,九年國民教育實施條例,廢止
90059,中學法,廢止
90060,國民學校法,廢止
90061,兵工廠組織條例,廢止
90062,輸出業同業公會法,廢止
90063,中央原子醫學實驗院組織條例,廢止
90064,度量衡器及計量器營業條例,廢止
90065,中央造幣廠組織法,廢止
90066,古物保存法,廢止
90067,商港條例,廢止
90068,職業訓練金條例,廢止
90069,戰爭罪犯審判條例,廢止
90070,陸海空軍軍官任官條例,廢止
90071,中央生物化學製藥實驗處組織條例,廢止
90072,中央防疫實驗處組織條例,廢止
90073,統一中外地名譯文委員會組織條例,廢止
90074,工廠法施行條例,廢止
90075,交通部交通技術標準委員會組織條例,廢止
90076,分類職位公務人員考績法,廢止
90077,外交部特派員公署組織條例,廢止
90078,民國三十八年黃金短期公債條例,現行
90079,教育部國民教育輔導研究委員會組織條例,廢止
90080,教育部文化局組織條例,廢止
90081,內政部藥品供應處組織條例,廢止
90082,內政部黑熱病防治處組織條例,廢止
90083,田賦徵收實物條例,廢止
90084,鹽稅計徵條例,廢止
90085,公證費用法,廢止
90086,財政部稅務署組織法,廢止
90087,興建國民住宅貸款條例,廢止
90088,地方政府暨所屬機關主計機構及人員設置條例,廢止
90089,主計人員任用條例,廢止
90090,行政院主計處設置各機關歲計會計統計人員條例,廢止
90091,票據法施行法,廢止
90092,非訟事件費用法,廢止
90093,工人出國條例,廢止
90094,警察逃亡懲治條例,廢止
90095,典試法（民國24年）,廢止
90096,技術人員任用條例（民國24年）,廢止
90097,中央政府興建臺灣區高速公路第二期工程建設公債發行條例,廢止
90098,中華民國三十八年愛國公債條例,廢止
90099,中華民國常駐聯合國代表團組織條例,停止適用
90100,公務人員升等考試法（民國37年）,廢止
90101,公務人員考績法（民國37年）,廢止
90102,公務人員任用法（民國37年）,廢止
90103,公務人員俸給法（民國37年）,廢止
90104,國立北平圖書館組織條例,廢止
90105,國立蘭州圖書館組織條例,廢止
90106,國立甘肅科學教育館組織條例,廢止
90107,國立北平研究院組織條例,廢止
90108,教育部國民體育委員會組織條例（民國34年）,廢止
90109,中華民國五十年短期公債發行條例,廢止
90110,中華民國五十一年短期公債發行條例,廢止
90111,中華民國五十三年度公債發行條例,廢止
90112,中華民國五十四年度公債發行條例,廢止
90113,中華民國六十三年度公債發行條例,廢止
90114,中華民國六十四年度公債發行條例,廢止
90115,中華民國五十二年度中央政府總預算施行條例,廢止
90116,中華民國五十三年度中央政府總預算施行條例,廢止
90117,中華民國五十四年度中央政府總預算施行條例,廢止
90118,中華民國五十五年度中央政府總預算施行條例,廢止
90119,中華民國五十六年度中央政府總預算施行條例,廢止
90120,中華民國五十七年度中央政府總預算施行條例,廢止
90121,中華民國五十八年度中央政府總預算施行條例,廢止
90122,中華民國五十九年度中央政府總預算施行條例,廢止
90123,中華民國六十年度中央政府總預算施行條例,廢止
90124,中華民國六十一年度中央政府總預算施行條例,廢止
90125,中華民國六十二年度中央政府總預算施行條例,廢止
90126,中華民國六十三年度中央政府總預算施行條例,廢止
90127,中華民國六十四年度中央政府總預算施行條例,廢止
90128,中華民國六十五年度中央政府總預算施行條例,廢止
90129,中華民國六十六年度中央政府總預算施行條例,廢止
90130,中華民國六十七年度中央政府總預算施行條例,廢止
90131,中華民國六十八年度中央政府總預算施行條例,廢止
90132,中華民國六十九年度中央政府總預算施行條例,廢止
90133,中華民國七十年度中央政府總預算施行條例,廢止
90134,中華民國七十一年度中央政府總預算施行條例,廢止
90135,中華民國七十二年度中央政府總預算執行條例,廢止
90136,中華民國七十三年度中央政府總預算執行條例,廢止
90137,中華民國七十四年度中央政府總預算執行條例,廢止
90138,中華民國七十五年度中央政府總預算執行條例,廢止
90139,中華民國七十六年度中央政府總預算執行條例,廢止
90140,中華民國七十七年度中央政府總預算執行條例,廢止
90141,中華民國七十八年度中央政府總預算執行條例,廢止
90142,中華民國七十九年度中央政府總預算執行條例,廢止
90143,中華民國八十年度中央政府總預算執行條例,廢止
90144,中華民國八十一年度中央政府總預算執行條例,廢止
90145,中華民國八十二年度中央政府總預算執行條例,廢止
90146,中華民國八十三年度中央政府總預算執行條例,廢止
90147,中華民國六十年度所得稅稅率條例,廢止
90148,中華民國六十一年度所得稅稅率條例,廢止
90150,中華民國六十三年度所得稅稅率條例,廢止
90151,中華民國六十四年度所得稅稅率條例,廢止
90152,中華民國六十五年度所得稅稅率條例,廢止
90153,中華民國六十六年度所得稅稅率條例,廢止
90154,中華民國六十七年度所得稅稅率條例,廢止
90155,中華民國六十八年度所得稅稅率條例,廢止
90156,中華民國六十九年度所得稅稅率條例,廢止
90157,中華民國七十年度所得稅稅率條例,廢止
90158,中華民國七十一年度所得稅稅率條例,廢止
90159,中華民國七十二年度所得稅稅率條例,廢止
90160,中華民國七十三年度所得稅稅率條例,廢止
90161,中華民國七十四年度所得稅稅率條例,廢止
90162,中華民國七十五年度所得稅稅率條例,廢止
90163,中華民國七十六年度所得稅稅率條例,廢止
90164,中華民國七十七年度所得稅稅率條例,廢止
90165,中華民國七十八年度所得稅稅率條例,廢止
90166,中華民國七十九年度所得稅稅率條例,廢止
90167,中華民國八十年度所得稅稅率條例,廢止
90168,電話電報臨時捐徵收條例,廢止
90169,國立邊疆文化教育館組織條例,廢止
90170,財政部鹽務總局組織法,廢止
90171,財政部各區鹽務辦事處組織條例,廢止
90172,財政部各區鹽務管理局組織條例,廢止
90173,民國十九年廣東省整理金融庫券章程,停止適用
90174,國立北平故宮博物院組織條例,停止適用
90175,上海市市政公債條例,停止適用
90176,上海市災區復興公債條例,停止適用
90177,中華民國三十七年短期國庫券條例,停止適用
90178,民國二十一年江浙絲業短期公債條例,停止適用
90179,民國二十一年湖北省善後公債條例,停止適用
90180,民國二十九年江蘇省整理地方財政公債條例,停止適用
90181,民國二十三年上海市市政公債條例,停止適用
90182,民國二十三年玉萍鐵路公債條例,停止適用
90183,民國二十三年江蘇省水利建設公債條例,停止適用
90184,民國二十五年北平市市政公債條例,停止適用
90185,民國二十五年江西省整理土地公債條例,停止適用
90186,民國二十五年青島市建設公債條例,停止適用
90187,民國二十六年闢濬廣東省港河工程美金公債條例,停止適用
90188,民國二十四年青島市市政公債條例,停止適用
90189,民國二十四年漢口市建設公債條例,停止適用
90190,民國二十四年廣東省建設公債條例,停止適用
90191,民國二十年四川省善後公債條例,停止適用
90192,民國二十年江蘇省運河工程短期公債條例,停止適用
90193,民國二十年財政部整理山西省金融公債條例,停止適用
90194,民國十九年建設委員會電氣事業長期公債條例,停止適用
90195,特種考試國軍退除役醫事人員執業資格考試條例,廢止
90196,民國十八年南京特別市特種建設公債條例,停止適用
90197,民國十八年遼寧省整理金融公債條例,停止適用
90198,民國三十七年短期國庫券條例,停止適用
90199,民國三十二年糧食庫券條例,停止適用
90200,民國三十年滇緬鐵路金公債條例,停止適用
90201,民國三十年糧食庫券條例,停止適用
90202,河南省民國二十年善後公債條例,停止適用
90203,浙江省杭州市自來水公債條例,停止適用
90204,疏濬河北省海河工程短期公債條例,停止適用
90205,節約建國儲金條例,停止適用
90206,節約建國儲蓄券條例,停止適用
90207,漢口特別市市政公債條例,停止適用
90208,鐵道部收回廣東粵漢鐵路公債條例,停止適用
90209,廣東省政府短期金庫券條例,停止適用
90481,駐外使領館人員任用條例,廢止
