主分類,次分類,狀態,代碼,法條名稱
人事其他,組織編制,廢止,02041,中華電信股份有限公司條例
人事其他,組織編制,現行,02044,交通部民用航空局民航人員訓練所組織條例
人事其他,組織編制,現行,02050,交通部公路總局組織法
人事其他,組織編制,現行,02051,交通部公路總局各區養護工程處組織通則
人事其他,組織編制,現行,02052,交通部公路總局各區監理所組織通則
人事其他,組織編制,現行,02053,交通部公路總局材料試驗所組織條例
人事其他,組織編制,廢止,02054,交通部基隆港務局組織條例
人事其他,組織編制,現行,02055,交通部基隆港務局棧埠管理處組織條例
人事其他,組織編制,現行,02056,交通部基隆港務局港埠工程處組織條例
人事其他,組織編制,現行,02057,交通部基隆港務局船舶機械修造工廠組織條例
人事其他,組織編制,現行,02058,交通部基隆港務局蘇澳港分局組織條例
人事其他,組織編制,現行,02059,交通部基隆港務局船舶管理所組織條例
人事其他,組織編制,現行,02060,交通部基隆港務局臺北港分局組織條例
人事其他,組織編制,廢止,02061,交通部臺中港務局組織條例
人事其他,組織編制,現行,02062,交通部臺中港務局棧埠管理處組織條例
人事其他,組織編制,現行,02063,交通部臺中港務局港埠工程處組織條例
人事其他,組織編制,現行,02064,交通部臺中港務局船舶機械修造工廠組織條例
人事其他,組織編制,廢止,02065,交通部高雄港務局組織條例
人事其他,組織編制,現行,02066,交通部高雄港務局棧埠管理處組織條例
人事其他,組織編制,現行,02067,交通部高雄港務局港埠工程處組織條例
人事其他,組織編制,現行,02068,交通部高雄港務局船舶機械修造工廠組織條例
人事其他,組織編制,現行,02069,交通部高雄港務局安平港分局組織條例
人事其他,組織編制,現行,02070,交通部高雄港務局各地辦事處組織通則
人事其他,組織編制,廢止,02071,交通部花蓮港務局組織條例
人事其他,組織編制,現行,02072,交通部花蓮港務局港埠工程處組織條例
人事其他,組織編制,現行,02073,交通部花蓮港務局棧埠管理處組織條例
人事其他,組織編制,現行,02075,交通部民用航空局所屬航空站組織通則
人事其他,組織編制,現行,02080,交通部臺灣鐵路管理局組織條例
人事其他,組織編制,現行,02081,交通部臺灣鐵路管理局所屬分支機構組織通則
人事其他,組織編制,現行,02083,交通部臺灣鐵路管理局各機廠組織通則
人事其他,組織編制,現行,02085,交通部臺灣鐵路管理局餐旅服務總所組織條例
人事其他,組織編制,現行,02086,交通部臺灣鐵路管理局貨運服務總所組織條例
人事其他,組織編制,廢止,02101,蒙古盟部旗組織法
人事其他,組織編制,廢止,02103,蒙藏委員會流亡蒙胞就業就學輔導委員會組織條例
人事其他,組織編制,現行,02203,國營港務股份有限公司設置條例
人事其他,組織編制,現行,02305,主計機構人員設置管理條例
人事其他,組織編制,現行,02306,行政院主計處電子處理資料中心組織條例
人事其他,組織編制,現行,02401,行政院新聞局駐外新聞機構組織通則
人事其他,組織編制,廢止,02413,國立教育廣播電臺組織條例
人事其他,組織編制,廢止,02414,國立教育廣播電臺分臺組織通則
人事其他,組織編制,現行,02421,國立教育廣播電臺組織法
人事其他,組織編制,廢止,02501,行政院衛生署環境保護局組織條例
人事其他,組織編制,廢止,02502,中央衛生實驗院組織條例
人事其他,組織編制,廢止,02503,行政院衛生署預防醫學研究所組織條例
人事其他,組織編制,廢止,02504,行政院衛生署藥物食品檢驗局組織條例
人事其他,組織編制,廢止,02505,行政院衛生署管制藥品管理局組織條例
人事其他,組織編制,廢止,02506,行政院衛生署檢疫總所組織條例
人事其他,組織編制,現行,02531,衛生福利部食品藥物管理署組織法
人事其他,組織編制,廢止,02546,行政院衛生署中醫藥委員會組織條例
人事其他,組織編制,廢止,02550,國立中國醫藥研究所組織條例
人事其他,組織編制,現行,02554,衛生福利部中央健康保險署組織法
人事其他,組織編制,廢止,02561,行政院衛生署疾病管制局組織條例
人事其他,組織編制,廢止,02571,行政院衛生署國民健康局組織條例
人事其他,組織編制,現行,02591,衛生福利部組織法
人事其他,組織編制,現行,02592,衛生福利部疾病管制署組織法
人事其他,組織編制,現行,02593,衛生福利部國民健康署組織法
人事其他,組織編制,現行,02594,衛生福利部國家中醫藥研究所組織法
人事其他,組織編制,現行,02597,衛生福利部社會及家庭署組織法
人事其他,組織編制,現行,02702,行政院原子能委員會輻射偵測中心組織條例
人事其他,組織編制,現行,02703,行政院原子能委員會放射性物料管理局組織條例
人事其他,組織編制,現行,02704,行政院原子能委員會核能研究所組織條例
人事其他,組織編制,廢止,02802,科學工業園區管理局組織條例
人事其他,組織編制,現行,02805,財團法人國家同步輻射研究中心設置條例
人事其他,組織編制,現行,02806,財團法人國家實驗研究院設置條例
人事其他,組織編制,廢止,02809,南部科學工業園區管理局組織條例
人事其他,組織編制,廢止,02813,行政院國家科學委員會中部科學工業園區管理局組織法
人事其他,組織編制,現行,02815,科技部組織法
人事其他,組織編制,現行,02817,科技部新竹科學園區管理局組織法
人事其他,組織編制,現行,02818,科技部中部科學園區管理局組織法
人事其他,組織編制,現行,02819,科技部南部科學園區管理局組織法
人事其他,組織編制,廢止,02822,國家資通安全科技中心設置條例
人事其他,組織編制,現行,02911,文化部文化資產局組織法
人事其他,組織編制,現行,02913,國立臺灣史前文化博物館組織法
人事其他,組織編制,現行,02916,國立海洋科技博物館組織法
人事其他,組織編制,現行,03120,農田水利會組織通則
人事其他,組織編制,現行,03136,行政院農業委員會動植物防疫檢疫局組織條例
人事其他,組織編制,現行,03137,行政院農業委員會動植物防疫檢疫局所屬各分局組織通則
人事其他,組織編制,現行,03138,行政院農業委員會漁業署組織條例
人事其他,組織編制,現行,03140,行政院農業委員會農糧署組織條例
人事其他,組織編制,現行,03141,行政院農業委員會農糧署各分署組織通則
人事其他,組織編制,現行,03148,行政院農業委員會水土保持局組織法
人事其他,組織編制,現行,03164,農業科技園區設置管理條例
人事其他,組織編制,廢止,03301,公務人員住宅及福利委員會組織條例
人事其他,組織編制,現行,03302,行政院人事行政總處公務人力發展學院組織法
人事其他,組織編制,廢止,03617,行政院勞工委員會勞工安全衛生研究所組織條例
人事其他,組織編制,廢止,03618,勞工保險局組織條例
人事其他,組織編制,廢止,03619,勞工保險監理委員會組織條例
人事其他,組織編制,廢止,03632,勞工退休基金監理會組織法
人事其他,組織編制,現行,03637,勞動部組織法
人事其他,組織編制,現行,03638,勞動部勞工保險局組織法
人事其他,組織編制,現行,03639,勞動部勞動力發展署組織法
人事其他,組織編制,現行,03640,勞動部勞動基金運用局組織法
人事其他,組織編制,現行,03641,勞動部勞動及職業安全衛生研究所組織法
人事其他,組織編制,現行,03642,勞動部職業安全衛生署組織法
人事其他,組織編制,現行,03712,行政院環境保護署環境檢驗所組織條例
人事其他,組織編制,現行,03713,行政院環境保護署環境保護人員訓練所組織條例
人事其他,組織編制,現行,03747,行政院環境保護署毒物及化學物質局組織法
人事其他,組織編制,現行,04201,國民大會組織法
人事其他,組織編制,廢止,04203,國民大會代表立法院立法委員選舉總事務所組織條例
人事其他,組織編制,現行,04301,中華民國總統府組織法
人事其他,組織編制,廢止,04302,國策顧問委員會組織條例
人事其他,組織編制,廢止,04303,戰略顧問委員會組織條例
人事其他,組織編制,廢止,04304,光復大陸設計研究委員會組織條例
人事其他,組織編制,廢止,04305,稽勳委員會組織條例
人事其他,組織編制,現行,04306,中央研究院組織法
人事其他,組織編制,現行,04307,國家安全會議組織法
人事其他,組織編制,廢止,04308,中央研究院評議會條例
人事其他,組織編制,現行,04309,國史館組織條例
人事其他,組織編制,現行,04310,國父陵園管理委員會組織條例
人事其他,組織編制,現行,04317,國家安全局組織法
人事其他,組織編制,現行,04326,國家人權博物館組織法
人事其他,組織編制,現行,04401,立法院組織法
人事其他,組織編制,現行,04402,立法院各委員會組織法
人事其他,組織編制,現行,04501,司法院組織法
人事其他,組織編制,現行,04502,法院組織法
人事其他,組織編制,現行,04503,最高法院設置分庭條例
人事其他,組織編制,現行,04504,行政法院組織法
人事其他,組織編制,現行,04505,懲戒法院組織法
人事其他,組織編制,現行,04555,公設辯護人條例
人事其他,組織編制,現行,04565,法官法
人事其他,組織編制,現行,04570,法官學院組織法
人事其他,組織編制,現行,04591,智慧財產及商業法院組織法
人事其他,組織編制,現行,04597,少年及家事法院組織法
人事其他,組織編制,現行,04601,考試院組織法
人事其他,組織編制,現行,04602,考選部組織法
人事其他,組織編制,現行,04603,銓敘部組織法
人事其他,組織編制,現行,04604,考銓處組織條例
人事其他,組織編制,現行,04605,公務人員考試法
人事其他,組織編制,廢止,04606,特種考試邊區行政人員考試條例
人事其他,組織編制,廢止,04607,縣長考試條例
人事其他,組織編制,廢止,04608,非常時期特種考試暫行條例
人事其他,組織編制,廢止,04609,省縣公職候選人考試法
人事其他,組織編制,現行,04610,公務人員升官等考試法
人事其他,組織編制,廢止,04611,外國人應專門職業及技術人員考試條例
人事其他,組織編制,現行,04612,專門職業及技術人員考試法
人事其他,組織編制,現行,04613,典試法
人事其他,組織編制,廢止,04614,分類職位公務人員考試典試法
人事其他,組織編制,現行,04663,公務人員保障暨培訓委員會組織法
人事其他,組織編制,現行,04667,公務人員退休撫卹基金管理條例
人事其他,組織編制,現行,04668,公務人員退休撫卹基金監理委員會組織條例
人事其他,組織編制,現行,04671,公務人員退休撫卹基金管理委員會組織條例
人事其他,組織編制,廢止,04672,公務人力發展中心組織條例
人事其他,組織編制,現行,04677,國家文官學院組織法
人事其他,組織編制,現行,04690,行政法人法
人事其他,組織編制,現行,04701,監察院組織法
人事其他,組織編制,現行,04702,監察院各委員會組織法
人事其他,組織編制,現行,04703,監察院監察委員行署組織條例
人事其他,組織編制,現行,04704,審計部組織法
人事其他,組織編制,現行,04705,審計處室組織通則
人事其他,組織編制,現行,04716,監察院國家人權委員會組織法
人事其他,組織編制,廢止,04801,省政府組織法
人事其他,組織編制,廢止,04802,市組織法
人事其他,組織編制,廢止,04803,縣組織法
人事其他,組織編制,廢止,04804,縣組織法施行法
人事其他,組織編制,廢止,04805,鄉鎮組織暫行條例
人事其他,組織編制,廢止,04809,省縣自治法
人事其他,組織編制,廢止,04811,直轄市自治法
人事其他,組織編制,廢止,04817,臺灣省政府功能業務與組織調整暫行條例
人事其他,組織編制,廢止,04822,海南特區行政長官公署組織條例
人事其他,組織編制,廢止,04823,海南建省籌備委員會組織條例
人事其他,組織編制,廢止,04824,設治局組織條例
人事其他,組織編制,廢止,04826,市參議會組織條例
人事其他,組織編制,廢止,04828,縣參議會組織條例
人事其他,組織編制,廢止,04832,省參議會組織條例
人事其他,組織編制,廢止,05109,內政部警政署鐵路警察局組織條例
人事其他,組織編制,廢止,05110,內政部警政署臺灣保安警察總隊組織條例
人事其他,組織編制,廢止,05111,內政部警政署港務警察局組織通則
人事其他,組織編制,廢止,05112,內政部警政署警察廣播電臺組織條例
人事其他,組織編制,廢止,05113,內政部警政署民防防情指揮管制所組織條例
人事其他,組織編制,廢止,05114,內政部警政署警察機械修理廠組織條例
人事其他,組織編制,現行,05117,內政部空中勤務總隊組織法
人事其他,組織編制,現行,05179,內政部警政署組織法
人事其他,組織編制,現行,05180,內政部建築研究所組織法
人事其他,組織編制,現行,05181,內政部役政署組織法
人事其他,組織編制,現行,05183,海洋委員會海洋保育署組織法
人事其他,組織編制,現行,05185,國家海洋研究院組織法
人事其他,組織編制,現行,06054,客家委員會客家文化發展中心組織法
人事其他,組織編制,現行,06059,文化內容策進院設置條例
人事其他,組織編制,現行,06810,交通部鐵道局組織法
人事其他,組織編制,現行,06820,交通部高速公路局組織法
人事其他,組織編制,現行,06821,國家住宅及都市更新中心設置條例
人事其他,組織編制,現行,07182,國立臺灣文學館組織法
人事其他,組織編制,現行,07205,國立臺灣歷史博物館組織法
人事其他,組織編制,現行,08106,經濟部能源局組織條例
人事其他,組織編制,廢止,90003,省防空司令部組織條例
人事其他,組織編制,廢止,90004,省保安司令部組織條例
人事其他,組織編制,廢止,90007,博士學位評定會組織條例
人事其他,組織編制,廢止,90008,陸軍大學校組織法
人事其他,組織編制,廢止,90014,東南鼠疫防治處組織條例
人事其他,組織編制,廢止,90015,內政部檢疫所組織條例
人事其他,組織編制,廢止,90019,僑務委員會駐各口岸僑務局組織條例
人事其他,組織編制,廢止,90020,經濟部高雄加工出口區管理處組織條例
人事其他,組織編制,廢止,90024,財政部鹽務總局鹽警管理處組織條例
人事其他,組織編制,廢止,90025,中央古物保管委員會組織條例
人事其他,組織編制,廢止,90035,衛生事業人員任用條例
人事其他,組織編制,廢止,90051,經濟部農業局組織條例
人事其他,組織編制,廢止,90055,財政部關務署組織法（民國25年）
人事其他,組織編制,廢止,90061,兵工廠組織條例
人事其他,組織編制,廢止,90063,中央原子醫學實驗院組織條例
人事其他,組織編制,廢止,90065,中央造幣廠組織法
人事其他,組織編制,廢止,90071,中央生物化學製藥實驗處組織條例
人事其他,組織編制,廢止,90072,中央防疫實驗處組織條例
人事其他,組織編制,廢止,90073,統一中外地名譯文委員會組織條例
人事其他,組織編制,廢止,90075,交通部交通技術標準委員會組織條例
人事其他,組織編制,廢止,90077,外交部特派員公署組織條例
人事其他,組織編制,廢止,90079,教育部國民教育輔導研究委員會組織條例
人事其他,組織編制,廢止,90080,教育部文化局組織條例
人事其他,組織編制,廢止,90081,內政部藥品供應處組織條例
人事其他,組織編制,廢止,90082,內政部黑熱病防治處組織條例
人事其他,組織編制,廢止,90086,財政部稅務署組織法
人事其他,組織編制,廢止,90088,地方政府暨所屬機關主計機構及人員設置條例
人事其他,組織編制,廢止,90089,主計人員任用條例
人事其他,組織編制,廢止,90090,行政院主計處設置各機關歲計會計統計人員條例
人事其他,組織編制,廢止,90096,技術人員任用條例（民國24年）
人事其他,組織編制,停止適用,90099,中華民國常駐聯合國代表團組織條例
人事其他,組織編制,廢止,90104,國立北平圖書館組織條例
人事其他,組織編制,廢止,90105,國立蘭州圖書館組織條例
人事其他,組織編制,廢止,90106,國立甘肅科學教育館組織條例
人事其他,組織編制,廢止,90107,國立北平研究院組織條例
人事其他,組織編制,廢止,90108,教育部國民體育委員會組織條例（民國34年）
人事其他,組織編制,廢止,90169,國立邊疆文化教育館組織條例
人事其他,組織編制,廢止,90170,財政部鹽務總局組織法
人事其他,組織編制,廢止,90171,財政部各區鹽務辦事處組織條例
人事其他,組織編制,廢止,90172,財政部各區鹽務管理局組織條例
人事其他,組織編制,停止適用,90174,國立北平故宮博物院組織條例
內政,人民團體,現行,01124,人民團體法
內政,人民團體,現行,01130,農會法
內政,人民團體,現行,01131,漁會法
內政,人民團體,現行,01132,工會法
內政,人民團體,現行,01133,工業團體法
內政,人民團體,現行,01134,商業團體法
內政,人民團體,現行,01135,教育會法
內政,人民團體,現行,01136,合作社法
內政,人民團體,廢止,01137,中華民國紅十字會法
內政,人民團體,現行,01201,政黨法
內政,人民團體,廢止,01402,後備軍人會組織通則
內政,人民團體,現行,01609,儲蓄互助社法
內政,人民團體,現行,01858,財團法人法
內政,人民團體,現行,01959,國際合作發展基金會設置條例
內政,人民團體,廢止,02407,廣播電視事業發展基金條例
內政,人民團體,現行,02410,中央通訊社設置條例
內政,人民團體,現行,02412,中央廣播電臺設置條例
內政,人民團體,現行,02555,財團法人國家衛生研究院設置條例
內政,人民團體,現行,02805,財團法人國家同步輻射研究中心設置條例
內政,人民團體,現行,02903,國家文化藝術基金會設置條例
內政,人民團體,現行,02909,財團法人原住民族文化事業基金會設置條例
內政,人民團體,現行,04662,公職人員年資併社團專職人員年資計發退離給與處理條例
內政,人民團體,現行,04690,行政法人法
內政,人民團體,廢止,90001,商會法
內政,人民團體,廢止,90002,商業同業公會法
內政,人民團體,廢止,90046,工業會法
內政,人民團體,廢止,90062,輸出業同業公會法
內政,入出國,現行,01203,入出國及移民法
內政,入出國,現行,01260,內政部移民署組織法
內政,入出國,現行,05115,華僑身分證明條例
內政,入出國,現行,07162,反滲透法
內政,入出國,廢止,90093,工人出國條例
內政,內政政務,現行,01011,內政部組織法
內政,內政政務,廢止,90010,國民義務勞動法
內政,役政,廢止,01286,內政部役政署組織條例
內政,役政,廢止,01402,後備軍人會組織通則
內政,役政,現行,01405,志願士兵服役條例
內政,役政,現行,01417,兵役法
內政,役政,現行,01418,兵役法施行法
內政,役政,現行,01456,替代役實施條例
內政,役政,現行,01473,推動募兵制暫行條例
內政,役政,現行,04539,妨害兵役治罪條例
內政,役政,現行,04639,後備軍人轉任公職考試比敘條例
內政,役政,現行,05181,內政部役政署組織法
內政,戶政,現行,01119,戶籍法
內政,戶政,廢止,01120,戶口普查法
內政,戶政,現行,01121,國籍法
內政,戶政,廢止,01122,國籍法施行條例
內政,戶政,現行,01123,姓名條例
內政,民政,現行,01110,中華民國國徽國旗法
內政,民政,現行,01111,褒揚條例
內政,民政,廢止,01112,褒揚抗戰忠烈條例
內政,民政,現行,01113,國葬法
內政,民政,廢止,01114,公葬條例
內政,民政,廢止,01115,墳墓設置管理條例
內政,民政,現行,01116,監督寺廟條例
內政,民政,廢止,02102,管理喇嘛寺廟條例
內政,民政,廢止,04618,縣長任用法
內政,民政,廢止,04620,縣行政人員任用條例
內政,民政,廢止,04653,高等考試及格人員縣長挑選條例
內政,民政,廢止,04801,省政府組織法
內政,民政,廢止,04802,市組織法
內政,民政,廢止,04803,縣組織法
內政,民政,廢止,04804,縣組織法施行法
內政,民政,廢止,04805,鄉鎮組織暫行條例
內政,民政,廢止,04809,省縣自治法
內政,民政,廢止,04811,直轄市自治法
內政,民政,廢止,04817,臺灣省政府功能業務與組織調整暫行條例
內政,民政,現行,04818,地方制度法
內政,民政,現行,04819,地方民意代表費用支給及村里長事務補助費補助條例
內政,民政,廢止,04822,海南特區行政長官公署組織條例
內政,民政,廢止,04823,海南建省籌備委員會組織條例
內政,民政,廢止,04825,省參議員選舉條例
內政,民政,廢止,04826,市參議會組織條例
內政,民政,廢止,04827,市參議員選舉條例
內政,民政,廢止,04828,縣參議會組織條例
內政,民政,廢止,04829,縣參議員選舉條例
內政,民政,廢止,04830,鄉鎮民代表選舉條例
內政,民政,廢止,04832,省參議會組織條例
內政,民政,現行,04903,獎章條例
內政,民政,廢止,04904,服制條例
內政,民政,現行,05120,殯葬管理條例
內政,民政,現行,05146,祭祀公業條例
內政,民政,廢止,90048,縣長考績條例
內政,消防防災,現行,01031,行政院農業委員會組織條例
內政,消防防災,現行,01085,國家災害防救科技中心設置條例
內政,消防防災,現行,01178,消防法
內政,消防防災,現行,01208,民防法
內政,消防防災,現行,01236,內政部消防署組織條例
內政,消防防災,現行,01248,災害防救法
內政,消防防災,現行,01296,內政部消防署港務消防隊組織通則
內政,消防防災,現行,01989,事業用爆炸物管理條例
內政,消防防災,現行,02708,核子事故緊急應變法
內政,消防防災,廢止,04108,九二一震災重建暫行條例
內政,消防防災,廢止,05113,內政部警政署民防防情指揮管制所組織條例
內政,消防防災,現行,05117,內政部空中勤務總隊組織法
內政,消防防災,現行,05135,爆竹煙火管理條例
內政,消防防災,現行,05144,警察消防海巡移民空勤人員及協勤民力安全基金設置管理條例
內政,消防防災,廢止,05161,莫拉克颱風災後重建特別條例
內政,消防防災,廢止,90005,防空疏散建築用地徵用領用條例
內政,消防防災,停止適用,90176,上海市災區復興公債條例
內政,社區,現行,01187,公寓大廈管理條例
內政,社區,現行,01232,農村社區土地重劃條例
內政,社區,現行,03168,農村再生條例
內政,空中勤務,現行,05117,內政部空中勤務總隊組織法
內政,警政,廢止,01101,內政部警政署組織條例
內政,警政,廢止,01106,省警務處組織法
內政,警政,廢止,01107,省保安警察隊組織條例
內政,警政,現行,01108,中央警察大學組織條例
內政,警政,廢止,01109,各省市警察學校組織通則
內政,警政,現行,01166,警察法
內政,警政,現行,01167,警察人員人事條例
內政,警政,現行,01168,警察教育條例
內政,警政,現行,01169,警察服制條例
內政,警政,現行,01170,警察勤務條例
內政,警政,現行,01171,警械使用條例
內政,警政,廢止,01172,違警罰法
內政,警政,現行,01173,警察獎章條例
內政,警政,現行,01174,自衛槍枝管理條例
內政,警政,現行,01175,槍砲彈藥刀械管制條例
內政,警政,現行,01183,社會秩序維護法
內政,警政,現行,01192,保全業法
內政,警政,現行,01199,集會遊行法
內政,警政,現行,01202,臺灣警察專科學校組織條例
內政,警政,現行,01208,民防法
內政,警政,廢止,01209,內政部警政署保安警察總隊組織通則
內政,警政,廢止,01220,內政部警政署國家公園警察大隊組織條例
內政,警政,廢止,01221,內政部警政署刑事警察局組織條例
內政,警政,廢止,01222,內政部警政署國道公路警察局組織條例
內政,警政,廢止,01251,內政部警政署航空警察局組織條例
內政,警政,廢止,01252,內政部警政署警察電訊所組織條例
內政,警政,現行,01255,刑事案件確定後去氧核醣核酸鑑定條例
內政,警政,現行,01256,去氧核醣核酸採樣條例
內政,警政,廢止,01257,內政部警政署水上警察局組織條例
內政,警政,現行,01294,警察刑事紀錄證明核發條例
內政,警政,現行,01295,當舖業法
內政,警政,廢止,01430,防空法
內政,警政,現行,04325,特種勤務條例
內政,警政,廢止,04541,懲治盜匪條例
內政,警政,現行,04548,竊盜犯贓物犯保安處分條例
內政,警政,廢止,04549,檢肅流氓條例
內政,警政,現行,04556,調度司法警察條例
內政,警政,現行,04574,組織犯罪防制條例
內政,警政,現行,04577,證人保護法
內政,警政,廢止,05109,內政部警政署鐵路警察局組織條例
內政,警政,廢止,05110,內政部警政署臺灣保安警察總隊組織條例
內政,警政,廢止,05111,內政部警政署港務警察局組織通則
內政,警政,廢止,05112,內政部警政署警察廣播電臺組織條例
內政,警政,廢止,05113,內政部警政署民防防情指揮管制所組織條例
內政,警政,廢止,05114,內政部警政署警察機械修理廠組織條例
內政,警政,現行,05119,警察職權行使法
內政,警政,現行,05135,爆竹煙火管理條例
內政,警政,現行,05144,警察消防海巡移民空勤人員及協勤民力安全基金設置管理條例
內政,警政,現行,05152,人口販運防制法
內政,警政,現行,05179,內政部警政署組織法
內政,警政,廢止,90004,省保安司令部組織條例
內政,警政,廢止,90005,防空疏散建築用地徵用領用條例
內政,警政,廢止,90024,財政部鹽務總局鹽警管理處組織條例
內政,警政,廢止,90044,狩獵法
內政,警政,廢止,90052,警察官任用條例
內政,警政,廢止,90094,警察逃亡懲治條例
內政,選務,現行,01060,中央選舉委員會組織法
內政,選務,現行,01177,公職人員選舉罷免法
內政,選務,現行,04106,公民投票法
內政,選務,廢止,04203,國民大會代表立法院立法委員選舉總事務所組織條例
內政,選務,廢止,04204,國民大會代表選舉罷免法
內政,選務,廢止,04205,國民大會代表選舉罷免法施行條例
內政,選務,廢止,04206,國民大會代表立法院立法委員選舉補充條例
內政,選務,廢止,04212,國民大會代表選舉法
內政,選務,廢止,04311,總統副總統選舉罷免法（民國36年）
內政,選務,現行,04318,總統副總統選舉罷免法
內政,選務,廢止,04403,立法院立法委員選舉罷免法
內政,選務,廢止,04404,立法院立法委員選舉罷免法施行條例
內政,選務,廢止,04706,監察院監察委員選舉罷免法
內政,選務,廢止,04707,監察院監察委員選舉罷免法施行條例
內政,選務,廢止,04825,省參議員選舉條例
內政,選務,廢止,04827,市參議員選舉條例
內政,選務,廢止,04829,縣參議員選舉條例
內政,選務,廢止,04830,鄉鎮民代表選舉條例
勞動人力,人力資源,廢止,01104,行政院勞工委員會職業訓練局組織條例
勞動人力,人力資源,廢止,01105,行政院勞工委員會職業訓練局職業訓練中心組織通則
勞動人力,人力資源,廢止,01129,職業介紹法
勞動人力,人力資源,現行,03614,職業訓練法
勞動人力,人力資源,現行,03615,就業服務法
勞動人力,人力資源,廢止,03633,公共服務擴大就業暫行條例
勞動人力,人力資源,現行,03639,勞動部勞動力發展署組織法
勞動人力,人力資源,現行,07152,中高齡者及高齡者就業促進法
勞動人力,人力資源,現行,07202,國家重點領域產學合作及人才培育創新條例
勞動人力,人力資源,現行,08180,外國專業人才延攬及僱用法
勞動人力,人力資源,廢止,90068,職業訓練金條例
勞動人力,勞動基準,現行,01139,勞動基準法
勞動人力,勞動基準,廢止,01145,最低工資法
勞動人力,勞動基準,現行,01146,勞動契約法
勞動人力,勞動基準,現行,03616,性別工作平等法
勞動人力,勞動基準,現行,03626,大量解僱勞工保護法
勞動人力,勞動政務,廢止,01036,行政院勞工委員會組織條例
勞動人力,勞動政務,現行,03637,勞動部組織法
勞動人力,勞動政務,現行,03640,勞動部勞動基金運用局組織法
勞動人力,勞動政務,廢止,90093,工人出國條例
勞動人力,勞工福利,現行,01147,職工福利金條例
勞動人力,勞工福利,現行,01148,勞工保險條例
勞動人力,勞工福利,廢止,03618,勞工保險局組織條例
勞動人力,勞工福利,廢止,03619,勞工保險監理委員會組織條例
勞動人力,勞工福利,現行,03623,勞工退休金條例
勞動人力,勞工福利,現行,03631,就業保險法
勞動人力,勞工福利,廢止,03632,勞工退休基金監理會組織法
勞動人力,勞工福利,現行,03638,勞動部勞工保險局組織法
勞動人力,勞資關係,現行,01132,工會法
勞動人力,勞資關係,現行,01143,勞資爭議處理法
勞動人力,勞資關係,現行,01144,團體協約法
勞動人力,勞資關係,現行,07132,勞動事件法
勞動人力,安全衛生,現行,01141,勞動檢查法
勞動人力,安全衛生,現行,01142,職業安全衛生法
勞動人力,安全衛生,廢止,03617,行政院勞工委員會勞工安全衛生研究所組織條例
勞動人力,安全衛生,現行,03624,職業災害勞工保護法
勞動人力,安全衛生,現行,03641,勞動部勞動及職業安全衛生研究所組織法
勞動人力,安全衛生,現行,03642,勞動部職業安全衛生署組織法
勞動人力,安全衛生,現行,03643,勞工職業災害保險及保護法
勞動人力,青年輔導,廢止,01030,行政院青年輔導委員會組織條例
勞動人力,青年輔導,現行,01795,教育部青年發展署組織法
原住民族,原民事務,廢止,01046,行政院原住民族委員會組織條例
原住民族,原民事務,現行,01076,原住民族委員會組織法
原住民族,原民事務,現行,03627,原住民族工作權保障法
原住民族,原民政策,現行,01212,原住民族基本法
原住民族,原民文教,現行,01056,行政院原住民族委員會文化園區管理局組織條例
原住民族,原民文教,現行,01077,原住民族委員會原住民族文化發展中心組織法
原住民族,原民文教,現行,01211,原住民族語言發展法
原住民族,原民文教,現行,01748,原住民族教育法
原住民族,原民文教,現行,02909,財團法人原住民族文化事業基金會設置條例
原住民族,原民文教,現行,05128,原住民族傳統智慧創作保護條例
原住民族,原民文教,現行,06058,財團法人原住民族語言研究發展基金會設置條例
原住民族,原民權利,現行,01212,原住民族基本法
原住民族,原民權利,現行,01227,原住民身分法
原住民族,原民權利,現行,03627,原住民族工作權保障法
原住民族,原民衛福,廢止,05121,原住民敬老福利生活津貼暫行條例
原住民族,原民財經,現行,05123,原住民保留地禁伐補償條例
司法,司法改革,現行,04598,國民法官法
司法,司法行政,現行,04501,司法院組織法
司法,司法行政,現行,04564,司法人員人事條例
司法,司法行政,現行,04565,法官法
司法,司法行政,現行,04570,法官學院組織法
司法,司法行政,現行,04598,國民法官法
司法,司法行政,現行,04622,軍法人員轉任司法官條例
司法,大法官,現行,04506,憲法訴訟法
司法,法院,現行,01440,海上捕獲法庭審判條例
司法,法院,現行,04502,法院組織法
司法,法院,現行,04503,最高法院設置分庭條例
司法,法院,現行,04504,行政法院組織法
司法,法院,現行,04534,強制執行法
司法,法院,現行,04535,管收條例
司法,法院,現行,04554,提審法
司法,法院,現行,04555,公設辯護人條例
司法,法院,現行,04591,智慧財產及商業法院組織法
司法,法院,現行,04592,智慧財產案件審理法
司法,法院,現行,04597,少年及家事法院組織法
司法,法院,現行,04598,國民法官法
國家發展,公共政策,現行,04106,公民投票法
國家發展,國發政務,現行,01083,國家發展委員會組織法
國家發展,憲政議題,現行,01210,中華民國領海及鄰接區法
國家發展,憲政議題,現行,04101,中華民國憲法
國家發展,憲政議題,廢止,04102,動員戡亂時期臨時條款
國家發展,憲政議題,現行,04103,憲法實施之準備程序
國家發展,憲政議題,現行,04104,訓政結束程序法
國家發展,憲政議題,現行,04105,中華民國憲法增修條文
國家發展,憲政議題,現行,04546,殘害人群治罪條例
國家發展,憲政議題,廢止,04809,省縣自治法
國家發展,憲政議題,廢止,04811,直轄市自治法
